,rep,t,genotype,drivers,tissue,blood,diff,pcterr,logprob,popsize,cellhge,cell_ID,is_outer,norm_t,norm_t_binned,norm_age,r_mean,r_std,centroid_x,centroid_y,centroid_r
0,0,5.063860957628156,1,(),1.0,1.0,0.0,0.0,0.0,12,1.2000000000000002,1903853,True,0.007647074991058801,0.03,0.0,1.9069689176588949,0.7604803843620733,-0.6666666666666666,-0.5,0.8333333333333334
1,0,10.005486139566049,1,(),1.0,1.0,0.0,0.0,0.0,80,8.0,1925610,True,0.015109558392594277,0.03,0.007462483401535476,3.808603033725768,1.6784691432388434,-0.4375,-1.125,1.207075494739248
2,0,15.001901622279448,1,(),0.9967213114754099,0.9967213114754099,0.0,0.0,0.0,304,30.400000000000002,1913779,True,0.02265478212652016,0.03,0.01500770713546136,6.871244034969732,2.6550566023659665,-0.08881578947368421,-1.2828947368421053,1.2859654545426205
3,0,15.001901622279448,2,"(0,)",0.003278688524590164,0.003278688524590164,0.0,0.0,0.0,1,0.1,1915051,True,0.02265478212652016,0.03,0.0,11.180339887498947,,10.0,-5.0,11.180339887498949
4,0,20.00099725721991,1,(),1.0,1.0,0.0,0.0,0.0,635,63.5,1920121,True,0.030204053231659297,0.03,0.022556978240600496,9.867541882091357,3.624547600462741,-0.2692913385826772,-1.1763779527559055,1.206806907821556
5,0,25.00080232225521,1,(),1.0,1.0,0.0,0.0,0.0,1208,120.80000000000001,1922424,True,0.037754395666596295,0.03,0.03010732067553749,13.344975500409335,4.938331187329975,-0.5985099337748344,-1.2905629139072847,1.4225915701915355
6,0,30.000349099648528,1,(),0.9994921279837481,0.9994921279837481,0.0,0.0,0.0,1968,196.8,1906081,True,0.04530434805429778,0.03,0.03765727306323898,17.013614809206103,6.223373014586028,-0.8526422764227642,-1.431910569105691,1.6665433476090497
7,0,30.000349099648528,3,"(1,)",0.0005078720162519045,0.0005078720162519046,1.0842021724855044e-19,2.1347940776239585e-14,9.64327466553287e-17,1,0.1,1915250,True,0.04530434805429778,0.03,0.0,18.24828759089466,,18.0,-3.0,18.24828759089466
8,0,35.000265885378354,1,(),0.9986440677966102,0.9986440677966103,1.1102230246251565e-16,1.1117304557515994e-14,9.64327466553287e-17,2946,294.6,1913604,True,0.05285485920171252,0.03,0.04520778421065372,20.808069127279648,7.554903007460948,-0.9541751527494908,-1.231500339443313,1.5578970788128172
9,0,35.000265885378354,5,"(3,)",0.0013559322033898306,0.0013559322033898306,0.0,0.0,0.0,4,0.4,1904307,True,0.05285485920171252,0.03,0.0,32.94202892444382,0.6559779885604793,-8.75,-31.75,32.93364541012732
10,0,40.0000929785728,1,(),0.9875579409612101,0.98755794096121,-1.1102230246251565e-16,-1.1242105182654437e-14,-4.821637332766436e-17,4048,404.8,1918976,True,0.060405234901975385,0.08,0.052758159910916584,24.35019557191205,8.812142672461281,-0.8732707509881423,-1.3604249011857708,1.6165882952371355
11,0,40.0000929785728,5,"(3,)",0.008050744083922909,0.008050744083922909,0.0,0.0,0.0,33,3.3000000000000003,1922019,True,0.060405234901975385,0.08,0.007550375700262867,36.244414989719225,2.048616970586111,-9.848484848484848,-34.84848484848485,36.21338909914279
12,0,40.0000929785728,6,"(4,)",0.003659429129055867,0.003659429129055867,0.0,0.0,0.0,15,1.5,1926134,True,0.060405234901975385,0.08,0.0,31.200611659705366,1.5544287169215456,31.0,-3.2666666666666666,31.17163953197058
13,0,40.0000929785728,7,"(5,)",0.00024396194193705782,0.00024396194193705782,0.0,0.0,0.0,1,0.1,1923657,True,0.060405234901975385,0.08,0.0,26.1725046566048,,-18.0,19.0,26.1725046566048
14,0,40.0000929785728,8,"(6,)",0.00024396194193705782,0.00024396194193705782,0.0,0.0,0.0,1,0.1,1914773,True,0.060405234901975385,0.08,0.0,32.38826948140329,,-32.0,-5.0,32.38826948140329
15,0,40.0000929785728,9,"(7,)",0.00024396194193705782,0.00024396194193705782,0.0,0.0,0.0,1,0.1,1890846,True,0.060405234901975385,0.08,0.0,33.83784863137726,,32.0,-11.0,33.83784863137726
16,0,45.00013431640458,1,(),0.9772978959025471,0.9772978959025469,-2.220446049250313e-16,-2.2720258158334646e-14,-9.643274665532872e-17,5295,529.5,1920125,True,0.06795593413892732,0.08,0.060308859147868515,27.891761006583955,10.08866053371376,-0.7918791312559018,-1.0196411709159585,1.2910231120880327
17,0,45.00013431640458,5,"(3,)",0.015134736064968624,0.015134736064968624,0.0,0.0,0.0,82,8.200000000000001,1917772,True,0.06795593413892732,0.08,0.0151010749372148,39.052724981481965,3.0842952747715384,-12.231707317073171,-36.98780487804878,38.95782814258452
18,0,45.00013431640458,6,"(4,)",0.0068290882244370615,0.0068290882244370615,0.0,0.0,0.0,37,3.7,1913591,True,0.06795593413892732,0.08,0.007550699236951933,34.454093485740884,3.049915102669175,34.13513513513514,-4.486486486486487,34.42870912025839
19,0,45.00013431640458,8,"(6,)",0.00018456995201181247,0.00018456995201181247,0.0,0.0,0.0,1,0.1,1922388,True,0.06795593413892732,0.08,0.007550699236951933,32.38826948140329,,-32.0,-5.0,32.38826948140329
20,0,45.00013431640458,9,"(7,)",0.00036913990402362494,0.00036913990402362494,0.0,0.0,0.0,2,0.2,1883251,True,0.06795593413892732,0.08,0.007550699236951933,34.82696590524998,0.4060685522306518,32.5,-12.5,34.8209706929603
21,0,45.00013431640458,10,"(8,)",0.00018456995201181247,0.00018456995201181247,0.0,0.0,0.0,1,0.1,1918148,True,0.06795593413892732,0.08,0.0,7.071067811865476,,7.0,1.0,7.0710678118654755
22,0,50.00006018656382,1,(),0.9670805659832515,0.9670805659832515,0.0,0.0,0.0,6698,669.8000000000001,1915921,True,0.07550645900498748,0.08,0.06785938401392867,31.427146322599064,11.385131509873755,-1.1080919677515677,-0.11481039116154076,1.1140238933318294
23,0,50.00006018656382,5,"(3,)",0.0209356049667918,0.0209356049667918,0.0,0.0,0.0,145,14.5,1919542,True,0.07550645900498748,0.08,0.022651599803274962,42.19452646274672,4.561448360354571,-12.910344827586206,-40.04827586206896,42.07780178540173
24,0,50.00006018656382,6,"(4,)",0.008663008951775917,0.008663008951775917,0.0,0.0,0.0,60,6.0,1920782,True,0.07550645900498748,0.08,0.015101224103012097,37.68573111891018,4.436253194605729,37.3,-5.133333333333334,37.651575147809034
25,0,50.00006018656382,8,"(6,)",0.0004331504475887958,0.00043315044758879587,5.421010862427522e-20,1.251530707772434e-14,9.64327466553287e-17,3,0.30000000000000004,1926066,True,0.07550645900498748,0.08,0.015101224103012097,33.05694314036315,0.5981348695705,-32.666666666666664,-5.0,33.04710442854428
26,0,50.00006018656382,9,"(7,)",0.0004331504475887958,0.00043315044758879587,5.421010862427522e-20,1.251530707772434e-14,9.64327466553287e-17,3,0.30000000000000004,1924774,True,0.07550645900498748,0.08,0.015101224103012097,34.49726014729241,0.6391897175694244,32.333333333333336,-12.0,34.48832330578633
27,0,50.00006018656382,12,"(10,)",0.001155067860236789,0.001155067860236789,0.0,0.0,0.0,8,0.8,1925516,True,0.07550645900498748,0.08,0.0,48.646513905738566,1.1422708304247786,-48.375,5.0,48.632711470778595
28,0,50.00006018656382,13,"(11,)",0.00014438348252959862,0.00014438348252959862,0.0,0.0,0.0,1,0.1,1913862,True,0.07550645900498748,0.08,0.0,35.4682957019364,,-27.0,23.0,35.4682957019364
29,0,50.00006018656382,14,"(12,)",0.0007219174126479931,0.000721917412647993,-1.0842021724855044e-19,-1.5018368493269207e-14,-4.821637332766436e-17,5,0.5,1910959,True,0.07550645900498748,0.08,0.0,50.242035700520375,0.8199456290180868,17.2,-47.2,50.23624189765791
